;Inhabitants;;;;;;;;;;;;;Households;;;;;;Home;;;;;;;;;;;;;;;Social Security
6218HE;10;0;5;0;0;0;5;0;60;0;0;0;0;5;0;0;0;0;1,7;5;0;0;5;0;0;0;0;0;0;0;0;0;0;242;0
6218HG;30;15;15;0;0;0;5;15;90;0;0;0;0;15;5;5;0;0;1,9;15;0;0;0;15;0;0;0;0;0;90;0;0;0;263;0
6218HH;20;10;10;0;0;10;0;0;80;0;0;0;0;5;0;0;0;0;2,6;5;0;0;0;5;0;0;0;0;0;0;0;0;0;291;0
6218HJ;75;30;45;0;0;10;30;35;80;10;0;0;10;60;50;10;0;0;1,2;65;0;0;30;35;0;0;0;0;65;0;100;0;5;136;25
6218HK;10;0;5;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218HL;50;25;30;10;0;15;20;5;80;0;0;0;0;25;10;5;0;5;2,1;30;15;0;0;0;0;10;0;0;10;60;40;0;0;343;0
6218HM;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218HN;45;20;25;5;10;5;10;10;80;10;0;0;0;20;5;5;0;5;2,3;20;10;0;0;0;0;0;0;0;5;80;20;0;0;319;0
6218HP;40;20;20;0;10;0;10;10;90;0;0;0;0;15;0;5;0;5;3,1;15;10;0;0;0;0;0;0;0;0;90;0;0;0;471;0
6218HS;50;25;25;10;0;15;10;15;90;0;0;0;0;20;0;5;0;10;2,5;20;10;0;0;0;5;0;0;0;0;100;0;0;0;376;0
6218HT;40;20;20;0;5;0;20;10;90;0;0;0;0;15;0;5;0;5;2,5;15;5;0;10;0;0;0;0;0;0;100;0;0;0;425;0
6218HW;45;25;20;0;5;5;15;10;80;0;0;0;0;25;15;0;0;5;1,9;20;5;0;10;0;0;0;0;0;0;90;0;0;0;354;0
6218NA;10;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0;0;407;0
6218NB;15;5;10;0;0;0;0;5;70;0;0;30;0;5;0;0;0;0;2,3;5;0;0;0;0;0;0;0;0;0;0;0;0;0;606;0
6218NC;10;5;5;0;5;0;0;0;40;0;0;40;0;10;5;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218ND;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218NE;15;10;5;0;0;5;5;0;90;0;0;0;0;10;0;0;0;0;2,1;10;10;0;0;0;0;0;0;0;0;0;0;0;0;219;0
6218RB;30;15;15;0;0;15;5;10;60;0;20;0;20;15;0;10;0;0;2;15;0;0;0;0;0;0;15;0;0;100;0;0;0;326;0
6218RC;45;20;20;5;0;15;15;5;70;0;0;10;0;20;0;5;0;5;2,4;20;0;0;0;0;0;0;20;0;0;100;0;0;0;335;0
6218RD;60;30;35;10;10;10;30;5;70;0;0;0;0;25;0;10;0;10;2,7;25;0;0;0;0;0;0;25;0;0;100;0;0;0;321;0
6218RE;75;35;40;15;10;15;25;5;70;0;0;10;10;25;0;5;0;15;2,8;25;0;0;0;0;0;0;25;0;0;100;0;0;0;312;5
6218RG;70;30;40;20;0;20;20;5;60;10;10;20;10;30;10;5;0;10;2,4;30;0;0;0;0;0;0;30;0;0;90;0;0;0;326;5
6218RH;25;15;15;0;0;5;15;5;60;0;0;0;0;15;0;10;0;0;2;15;0;0;0;0;0;0;15;0;0;100;0;0;0;344;0
6218RJ;10;5;5;0;0;0;0;0;80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218RK;30;15;15;0;0;0;5;20;80;0;0;0;0;20;10;10;0;0;1,5;20;0;0;20;0;0;0;0;0;0;0;0;0;0;209;0
6218RL;20;10;10;0;0;0;0;10;70;0;0;0;0;10;5;5;0;0;1,6;10;0;0;10;0;0;0;0;0;0;0;0;0;0;188;0
6218RM;30;15;15;0;0;0;5;25;80;20;0;0;0;20;10;10;0;0;1,6;20;0;0;20;0;0;0;0;0;0;0;0;0;0;202;0
6218RN;25;10;15;0;5;0;10;5;40;0;20;0;20;10;0;0;0;0;2,3;10;0;0;10;0;0;0;0;0;0;0;0;0;0;196;0
6218RP;75;40;35;0;10;10;35;20;70;10;10;0;10;35;10;10;0;15;2,3;35;0;0;20;0;0;15;0;0;0;60;40;15;0;197;15
6218RR;25;10;15;5;0;10;5;0;60;0;0;20;20;10;0;0;0;5;2,6;10;0;0;10;0;0;0;0;0;0;60;0;0;0;209;0
6218RS;65;35;30;20;5;20;15;0;80;0;0;0;0;20;0;0;0;10;2,9;20;0;0;20;0;0;0;0;0;0;20;80;15;0;195;5
6218RT;15;5;10;0;0;0;0;10;80;0;0;0;0;0;0;0;0;0;0;10;0;0;10;0;0;0;0;0;0;0;0;0;0;202;0
6218RV;55;25;30;5;10;10;15;10;50;0;20;10;10;25;10;5;0;5;2,1;20;0;0;20;0;0;0;0;0;0;0;0;0;0;198;5
6218RW;60;25;35;20;5;20;10;10;70;0;10;0;10;25;0;5;10;5;2,7;20;0;0;20;0;0;0;0;0;0;0;0;0;0;198;5
6218RX;55;20;35;15;5;20;10;5;50;0;20;0;20;20;5;5;5;5;2,4;20;0;0;20;0;0;0;0;0;0;0;0;0;0;208;10
6218RZ;55;25;30;15;10;10;15;5;40;0;30;0;20;20;5;5;5;5;2,5;20;0;0;20;0;0;0;0;0;0;0;0;0;0;207;10
6218SB;10;0;5;0;0;0;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218SC;65;35;30;0;5;10;25;20;90;0;0;0;0;35;10;20;0;5;2;35;0;0;0;0;35;0;0;0;20;90;0;0;0;218;10
6218SE;10;5;5;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218SG;10;0;5;0;0;0;0;5;80;0;0;0;0;5;0;0;0;0;1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6218SH;50;20;25;0;0;10;20;10;80;0;0;0;0;20;0;15;0;5;2,2;20;0;0;20;0;0;0;0;0;0;100;0;0;0;286;10
6218SJ;95;40;55;0;0;5;20;65;80;10;0;10;10;60;30;25;0;0;1,6;60;0;0;0;0;5;0;55;0;55;10;90;55;0;209;10
6218SK;40;20;20;5;5;5;10;10;60;0;20;0;20;20;5;5;0;0;2,3;20;0;0;20;0;0;0;0;0;0;40;60;10;0;175;5
6218SL;65;35;35;15;15;10;20;0;80;0;10;0;0;25;10;0;5;10;2,7;20;0;0;20;0;0;0;0;0;0;0;0;0;0;205;5
6218SM;200;90;110;15;10;25;40;115;80;10;0;0;10;85;30;35;10;10;1,9;85;0;0;20;0;0;0;60;0;55;40;60;45;0;0;25
6218SN;45;20;30;0;10;0;15;20;80;0;0;0;0;25;10;10;5;0;1,8;25;0;0;25;0;0;0;0;0;0;0;0;0;0;161;10
6218SP;60;25;30;10;10;5;20;10;60;0;20;0;20;25;10;5;0;10;2,4;25;0;0;25;0;0;0;0;0;0;0;0;0;0;158;15
6218SR;25;10;15;0;0;0;10;10;50;0;0;0;30;15;5;0;0;0;1,6;15;0;0;15;0;0;0;0;0;0;0;0;0;0;0;5
6218ST;20;10;10;0;0;0;5;10;80;0;0;0;0;10;0;5;0;0;1,8;10;0;0;10;0;0;0;0;0;0;0;70;10;0;167;5
6218SV;20;10;10;0;0;0;0;10;60;0;0;0;0;15;10;0;0;0;1,4;10;0;0;10;0;0;0;0;0;0;0;80;10;0;155;0
6218SW;25;15;10;0;0;0;10;15;80;0;0;0;0;15;0;10;0;0;1,9;15;0;0;15;0;0;0;0;0;0;0;0;0;0;0;5
6218SX;20;10;10;0;0;0;5;15;80;0;0;0;0;10;5;5;0;0;1,6;10;0;0;10;0;0;0;0;0;0;0;0;0;0;189;5
6218SZ;15;10;5;0;0;0;5;10;80;0;0;0;0;10;5;5;0;0;1,5;10;0;0;10;0;0;0;0;0;0;0;0;0;0;192;5
6218TA;25;10;15;0;0;0;0;20;90;0;0;0;0;15;5;10;0;0;1,6;15;0;0;15;0;0;0;0;0;0;0;0;0;0;194;0
6218TB;25;15;10;0;0;10;10;0;50;0;0;0;30;20;15;0;0;0;1,3;20;0;0;20;0;0;0;0;0;20;0;0;0;0;141;10
6218TC;20;10;10;0;0;0;0;10;80;0;0;0;0;10;0;5;0;0;1,8;10;0;0;10;0;0;0;0;0;0;0;70;10;0;0;0
6218TD;30;10;20;0;0;5;10;10;80;0;0;0;0;20;10;0;0;0;1,8;20;0;0;20;0;0;0;0;0;0;0;80;15;0;164;10
6218TE;35;15;20;5;0;10;15;5;60;10;0;0;0;20;10;5;0;0;1,8;20;0;0;10;0;5;0;0;0;0;60;40;5;0;204;0
6218TG;45;20;25;10;0;10;15;10;70;0;0;0;0;20;0;0;0;5;2,4;20;0;0;10;0;5;0;0;0;0;60;40;10;0;192;10
6218TH;40;20;20;5;0;10;10;10;60;20;0;0;0;20;10;5;0;5;2,1;20;0;0;20;0;0;0;0;0;0;0;80;15;0;166;10
6218TJ;40;20;20;10;0;10;10;5;50;20;0;20;0;20;5;0;0;5;2,2;20;0;0;20;0;0;0;0;0;0;0;80;15;0;166;10
6218TK;35;15;15;0;0;10;10;5;70;0;0;0;0;15;5;5;0;0;2,1;15;0;0;10;0;0;0;0;0;0;40;60;10;0;194;5
6218TL;60;35;30;15;0;15;15;15;70;0;0;10;10;30;15;5;0;10;2,1;30;0;0;20;0;0;0;0;0;0;40;60;15;0;226;5
6218VA;20;10;10;0;0;5;5;0;80;0;0;0;0;5;0;0;0;0;3;5;0;0;0;0;0;5;0;0;0;0;0;0;0;262;0
6218VB;40;25;15;0;5;5;25;0;70;10;0;0;0;20;5;5;0;5;2,2;15;0;0;0;0;0;15;0;0;0;100;0;0;0;238;10
6218VC;20;10;10;0;0;0;15;0;60;0;0;0;0;5;0;0;0;0;2,9;5;0;0;0;0;5;0;0;0;0;0;0;0;0;206;0
6218VD;20;10;10;5;0;5;0;0;90;0;0;0;0;5;0;0;0;0;2,6;10;0;0;0;0;10;0;0;0;0;0;0;0;0;223;0
6218VG;65;15;50;0;0;0;0;65;70;20;0;10;0;60;55;5;0;0;1,1;65;0;0;0;0;65;0;0;0;65;0;100;0;0;125;5
6218VH;65;35;30;0;0;5;15;40;80;0;10;0;10;45;25;15;0;0;1,4;45;0;0;0;0;0;0;45;0;45;0;100;0;0;207;10
6218VJ;45;25;25;0;5;10;20;10;50;0;20;0;20;25;10;5;0;5;1,9;25;0;0;25;0;0;0;0;0;0;20;80;20;0;164;10
6218VK;35;15;25;0;0;0;10;20;70;0;0;0;0;20;10;10;0;0;1,9;20;0;0;10;0;0;10;0;0;0;50;60;10;0;185;0
6218VL;20;10;10;0;0;10;0;5;60;0;0;0;0;10;0;0;0;0;2;10;0;0;10;0;0;0;0;0;0;0;80;10;0;169;0
6218VM;40;20;15;0;5;10;15;5;50;0;0;0;20;20;5;5;0;0;1,9;20;0;0;20;0;0;0;0;0;0;0;80;15;0;158;10
6218VN;40;25;20;10;5;10;10;5;80;0;0;0;0;20;5;0;5;5;2,2;20;0;0;20;0;0;0;0;0;0;30;70;10;0;166;15
6218VP;25;10;15;0;0;5;5;10;30;0;20;0;30;10;5;0;0;0;2,1;10;0;0;10;0;0;0;0;0;0;0;80;10;0;160;5
6218VR;40;15;25;5;0;10;15;0;70;0;0;20;0;20;0;5;0;5;2,2;20;0;0;20;0;0;0;0;0;0;30;70;15;0;159;15
6218VS;35;15;20;10;5;10;5;5;50;0;10;0;0;10;0;0;5;0;2,9;10;0;0;10;0;0;0;0;0;0;0;80;10;0;162;10
6218VT;55;25;30;10;0;10;15;15;40;0;20;0;20;25;10;10;0;5;2,2;25;0;0;25;0;0;0;0;0;0;0;80;20;0;154;10
6218VV;45;20;25;10;0;10;10;10;60;0;0;10;20;20;0;5;0;5;2,4;20;0;0;20;0;0;0;0;0;0;0;0;0;0;156;10
6218VW;75;35;40;0;0;5;15;50;70;10;10;0;10;50;30;20;0;0;1,5;50;0;0;10;0;0;0;35;0;35;0;100;45;0;192;15
6218VX;60;30;30;0;5;10;20;15;60;10;0;10;20;35;15;15;0;0;1,8;35;0;0;5;0;0;25;0;0;20;70;30;0;0;176;5
6218VZ;25;15;10;0;0;0;5;10;40;0;20;0;30;10;5;0;0;0;1,9;10;0;0;10;0;0;0;0;0;0;0;0;0;0;206;0
6218WB;60;30;25;15;0;30;10;0;70;10;0;10;0;25;5;5;0;10;2,3;25;0;0;0;0;0;0;25;0;0;100;0;0;0;360;0
6218WC;75;35;35;25;0;35;10;0;80;0;0;10;10;25;0;0;0;15;3,1;25;0;0;0;0;0;0;20;0;0;100;0;0;0;317;0
6218WD;60;30;30;20;0;30;10;0;70;10;10;0;10;20;0;5;0;15;3;20;0;0;0;0;0;0;0;20;0;100;0;0;0;375;0
6218WE;65;30;30;20;0;30;10;0;50;0;20;10;10;20;0;0;0;10;3,2;20;0;0;0;0;0;0;0;20;0;100;0;0;0;306;0
6218WG;65;30;40;15;5;25;15;5;60;0;20;10;0;25;0;10;0;10;2,6;25;0;0;0;0;0;0;0;25;0;100;0;0;0;0;0
6218WH;50;25;25;10;0;25;10;0;80;0;0;0;0;20;0;10;0;5;2,5;20;0;0;0;0;0;0;0;20;0;100;0;0;0;331;0
6218XA;20;10;10;0;0;0;5;10;70;0;0;0;0;10;5;0;0;0;1,6;10;0;0;10;0;0;0;0;0;0;0;0;0;0;209;5
6218XB;20;10;10;0;0;0;5;10;80;0;0;0;0;10;5;5;0;0;1,5;10;0;0;10;0;0;0;0;0;0;0;0;0;0;207;0
6218XC;10;0;5;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;1,5;5;0;0;5;0;0;0;0;0;0;0;0;0;0;209;5
6218XD;10;5;5;0;0;0;0;10;80;0;0;0;0;5;0;0;0;0;1,7;5;0;0;0;0;0;0;5;0;0;0;0;0;0;277;0
6218XG;20;10;10;0;0;0;5;10;70;0;0;0;0;10;0;5;0;0;1,8;10;0;0;0;0;0;0;10;0;0;0;0;0;0;254;0
6218XX;10;5;5;0;0;0;0;5;70;0;0;0;0;5;0;5;0;0;1,8;5;0;0;0;0;0;0;5;0;0;0;0;0;0;250;0
6218XZ;10;5;5;0;0;0;0;5;50;0;0;0;0;5;0;0;0;0;1,6;5;0;0;5;0;0;0;0;0;0;0;0;0;0;267;0
6219AA;65;35;25;0;10;15;25;10;70;10;0;10;10;35;20;15;0;0;1,7;35;20;0;0;0;0;10;5;0;25;30;70;0;5;200;5
6219AB;40;20;20;5;5;10;10;5;70;0;0;0;0;15;5;0;0;0;2,4;15;15;0;0;0;0;0;0;0;0;0;0;0;0;171;10
6219AC;15;5;10;0;0;0;10;0;90;0;0;0;0;10;0;0;0;0;1,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219AD;10;5;5;0;0;5;0;0;50;0;0;0;0;5;0;0;0;0;1,8;5;5;0;0;0;0;0;0;0;0;0;0;0;0;293;0
6219AE;35;10;20;5;0;5;15;5;70;0;0;0;20;20;5;0;5;0;1,8;20;20;0;0;0;0;0;0;0;0;0;0;0;0;179;10
6219AG;10;5;5;0;0;0;5;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219AH;15;5;10;5;0;5;0;0;70;0;0;0;0;10;5;0;0;0;2,1;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219AJ;25;10;15;0;0;5;10;0;50;20;0;0;30;10;0;5;0;0;2,1;10;10;0;0;0;0;0;0;0;0;50;50;5;0;212;0
6219AK;10;5;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;0;0;0;258;0
6219AL;20;10;10;5;0;5;0;0;60;0;0;0;0;10;0;0;0;0;2,1;10;10;0;0;0;0;0;0;0;0;0;0;0;0;166;5
6219AM;15;5;10;0;0;5;5;0;80;0;0;0;0;10;0;0;0;0;1,9;10;10;0;0;0;0;0;0;0;0;0;0;0;0;231;0
6219AN;45;20;25;15;5;10;10;5;30;0;0;20;30;15;5;0;0;5;2,9;15;15;0;0;0;0;0;0;0;0;0;0;0;0;180;10
6219AP;30;15;15;0;0;5;15;10;60;0;0;0;0;20;15;5;0;0;1,4;20;0;0;20;0;0;0;0;0;20;0;0;0;0;161;5
6219AR;85;35;45;0;0;10;20;50;70;10;0;10;10;50;30;20;0;5;1,6;55;10;0;0;0;0;0;45;0;45;20;80;40;0;224;10
6219AS;15;5;5;0;0;0;0;10;80;0;0;0;0;5;0;5;0;0;1,9;5;0;0;0;0;0;0;5;0;5;0;0;0;0;209;0
6219AT;25;10;10;0;0;0;5;15;70;0;0;0;0;20;15;5;0;0;1,3;20;0;0;20;0;0;0;0;0;20;0;0;0;0;170;0
6219AV;15;5;10;0;0;0;5;10;90;0;0;0;0;10;5;0;0;0;1,4;10;0;0;10;0;0;0;0;0;10;0;0;0;0;159;0
6219AW;30;20;15;0;5;5;15;10;70;0;0;0;0;20;10;5;0;0;1,8;15;5;0;5;0;0;0;0;0;0;60;40;0;0;230;5
6219AX;15;10;10;0;0;5;5;0;80;0;0;0;0;5;0;0;0;0;2,4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;251;0
6219AZ;15;10;10;0;0;0;5;10;90;0;0;0;0;10;0;5;0;0;2;10;0;0;0;0;0;10;0;0;0;0;0;0;0;261;0
6219BA;65;35;30;5;0;15;20;25;70;0;0;0;10;45;25;10;0;5;1,6;45;20;0;25;0;0;0;0;0;20;30;70;30;0;178;10
6219BB;25;10;15;0;0;5;10;5;70;0;0;0;0;15;5;5;0;0;1,6;15;0;0;15;0;0;0;0;0;0;0;70;10;0;199;0
6219BC;35;15;15;0;0;0;15;10;80;0;0;0;0;20;10;5;0;0;1,7;20;0;0;20;0;0;0;0;0;0;50;50;10;0;204;0
6219BD;40;20;20;5;5;10;15;5;80;0;0;0;0;20;10;0;0;10;2,1;20;0;0;20;0;0;0;0;0;0;60;40;10;0;206;5
6219BE;25;15;15;0;0;5;10;5;70;0;0;0;0;15;0;0;0;0;2;15;0;0;5;0;0;0;5;0;0;70;0;0;0;271;0
6219BG;45;20;25;0;0;5;15;20;80;0;0;0;0;30;20;5;0;0;1,5;30;0;0;30;0;0;0;0;0;30;0;100;0;0;138;10
6219BH;45;20;25;0;0;5;10;20;60;0;0;0;20;25;15;10;0;0;1,6;25;0;0;25;0;0;0;0;0;25;0;0;0;0;132;5
6219BJ;50;25;25;5;0;10;10;20;70;0;0;0;20;30;20;10;0;0;1,7;30;0;0;30;0;0;0;0;0;30;0;100;0;0;132;15
6219BK;45;20;25;0;0;5;10;20;70;10;0;0;10;25;10;10;0;0;1,7;25;0;0;25;0;0;0;0;0;25;0;0;0;0;132;5
6219BM;60;30;30;10;10;15;25;0;60;10;10;10;0;30;10;5;0;10;2,1;25;0;0;0;0;25;0;0;0;0;90;0;0;0;270;0
6219BN;30;15;20;0;0;5;15;0;80;0;0;0;0;15;5;5;0;0;2;15;0;0;0;0;15;0;0;0;0;90;0;0;0;272;0
6219BP;50;25;25;5;0;10;25;0;70;0;0;0;10;25;10;10;0;0;1,8;25;0;0;0;0;25;0;0;0;0;90;0;0;0;266;5
6219BR;40;20;20;0;5;5;15;10;70;0;0;0;0;15;0;10;0;0;2,1;15;0;0;0;0;15;0;0;0;0;100;0;0;0;261;5
6219BS;25;15;10;0;0;5;10;0;80;0;0;0;0;10;0;5;0;0;1,9;10;0;0;0;0;5;0;0;0;0;100;0;0;0;279;0
6219BT;25;10;15;0;5;5;10;0;90;0;0;0;0;10;0;0;0;5;3,1;10;0;0;0;0;0;10;0;0;0;0;0;0;0;322;0
6219BV;40;15;25;0;0;15;10;10;70;0;0;0;0;25;10;10;0;0;1,7;20;0;0;0;0;0;15;0;0;0;100;0;0;0;254;0
6219BW;40;20;20;15;0;15;10;5;80;0;0;0;0;20;5;5;0;5;2,3;15;0;0;0;0;0;15;0;0;0;100;0;0;0;0;0
6219BX;10;5;0;0;0;0;0;0;80;0;0;0;0;5;0;0;0;0;2;5;0;0;0;0;0;5;0;0;0;0;0;0;0;255;0
6219BZ;10;5;0;0;0;0;5;0;0;0;0;0;0;5;0;0;0;0;1,8;5;0;0;0;0;0;5;0;0;0;0;0;0;0;257;0
6219CZ;25;10;15;10;0;5;0;0;60;0;0;0;0;10;0;0;0;0;3;5;0;0;0;0;0;0;5;0;0;0;0;0;0;385;0
6219NA;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219NB;35;20;15;0;5;10;10;0;50;0;0;20;0;25;15;5;0;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5
6219ND;70;45;25;10;20;25;10;5;50;0;0;40;0;50;40;5;0;5;1,4;15;15;0;0;0;0;0;0;0;0;60;40;0;0;295;10
6219NE;100;55;45;5;0;40;30;20;80;10;0;10;0;60;25;25;0;5;1,7;60;5;0;0;0;0;0;50;0;55;10;90;0;0;281;0
6219NG;35;20;15;0;5;5;15;10;70;0;0;0;0;20;10;5;0;0;1,8;20;20;0;0;0;0;0;0;0;10;90;0;0;0;254;0
6219NK;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219NL;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219NM;15;0;10;0;0;0;0;0;70;0;0;0;0;10;10;0;0;0;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219NN;35;15;15;0;0;10;10;5;70;0;0;20;0;25;15;0;0;0;1,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6219NP;35;10;20;5;5;10;5;5;70;20;0;0;0;15;10;0;0;0;1,9;15;10;0;0;0;0;0;0;0;0;70;30;0;0;413;0
6219NW;15;5;5;0;0;0;0;5;60;0;0;0;0;10;0;0;0;0;1,6;10;0;0;0;0;0;0;0;0;0;0;0;0;0;325;0
6219PE;10;0;10;0;5;0;0;0;0;0;0;0;0;5;0;0;0;0;1,5;5;5;0;0;0;0;0;0;0;0;0;0;0;0;222;0
6221AB;430;265;170;95;95;185;60;0;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6221AC;80;35;45;0;10;30;15;15;60;0;0;10;20;55;35;15;0;0;1,4;55;15;0;0;0;40;0;0;0;55;40;60;0;10;288;0
6221AD;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;10;0;0;0;0;0;0;0;10;0;0;0;0;134;0
6221AE;85;40;45;5;30;30;15;5;60;0;0;20;20;65;60;5;0;0;1,3;65;30;35;0;0;0;0;0;0;50;0;100;30;0;189;10
6221AG;55;25;35;0;25;25;5;0;40;0;0;30;10;50;40;5;0;0;1,2;30;30;0;0;0;0;0;0;0;25;0;90;0;0;221;0
6221AH;60;30;30;5;20;25;5;0;60;0;0;30;0;40;35;5;0;0;1,4;40;40;0;0;0;0;0;0;0;35;20;80;0;5;223;0
6221AK;60;35;30;0;25;10;10;10;40;0;0;30;20;50;40;0;0;0;1,3;20;20;0;0;0;0;0;0;0;10;40;60;0;0;331;5
6221AL;25;10;15;0;0;10;5;0;80;0;0;0;0;15;5;0;0;0;1,8;15;15;0;0;0;0;0;0;0;0;60;40;0;0;314;0
6221AM;70;25;40;5;25;15;15;10;40;10;0;40;0;50;35;5;0;0;1,4;25;25;0;0;0;0;0;0;0;0;60;40;0;0;441;0
6221AN;45;25;25;0;15;5;15;5;60;0;0;20;0;25;10;10;0;5;1,9;25;25;0;0;0;0;0;0;0;10;70;30;10;0;348;0
6221AP;45;25;20;0;20;15;5;5;60;0;0;30;0;30;20;10;0;0;1,6;20;20;0;0;0;0;0;0;0;10;30;70;0;0;359;0
6221AR;55;20;35;0;10;10;15;15;70;0;0;10;0;30;15;10;0;0;1,8;30;30;0;0;0;0;0;0;0;15;30;60;0;0;398;0
6221AS;15;5;10;0;0;5;0;0;60;0;0;0;0;10;10;0;0;0;1,3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6221AT;95;30;65;0;65;25;0;0;60;0;0;20;10;85;80;5;0;0;1,1;105;20;0;0;0;85;0;0;0;100;0;90;95;15;106;0
6221AV;50;20;30;5;30;10;5;0;50;0;0;20;20;30;30;0;0;0;1,2;10;10;0;0;0;0;0;0;0;10;0;80;0;0;294;0
6221AW;20;5;10;0;10;0;0;5;60;0;0;0;0;15;10;0;0;0;1,2;15;10;0;0;0;0;0;0;0;10;50;50;0;5;336;0
6221AX;40;10;30;0;20;10;5;0;80;0;0;10;0;35;30;0;0;0;1,2;20;20;0;0;0;0;0;0;0;15;30;70;0;0;306;0
6221AZ;20;10;10;0;10;0;0;5;70;0;0;20;0;10;0;5;0;0;1,8;10;10;0;0;0;0;0;0;0;10;0;50;0;0;288;0
6221BA;15;5;5;0;0;0;5;0;80;0;0;0;0;5;0;0;0;0;1,9;10;10;0;0;0;0;0;0;0;5;50;0;0;0;338;0
6221BB;30;10;15;0;10;10;10;0;40;0;0;0;40;25;20;0;0;0;1,1;25;25;0;0;0;0;0;0;0;20;0;0;0;0;152;10
6221BC;45;20;25;10;0;15;10;10;40;0;30;0;30;20;5;10;5;0;2;20;20;0;0;0;0;0;0;0;0;0;0;0;0;177;10
6221BD;90;40;50;0;55;30;0;0;40;0;0;30;30;75;65;10;0;0;1,2;50;50;0;0;0;0;0;0;0;45;0;90;0;10;262;0
6221BE;80;40;45;0;30;10;10;25;60;10;0;20;10;60;40;15;0;0;1,4;40;20;0;0;0;25;0;0;0;40;70;30;0;5;394;0
6221BG;95;35;60;0;50;20;15;0;50;0;0;30;20;70;60;5;0;0;1,2;60;50;0;0;0;0;10;0;0;55;10;90;35;5;237;15
6221BH;20;10;10;0;10;10;0;0;50;0;0;20;20;20;15;0;0;0;1,2;20;20;0;0;0;0;0;0;0;20;0;50;0;5;347;0
6221BJ;20;15;10;0;5;5;5;0;50;0;0;30;0;15;10;0;0;0;1,5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6221BK;95;45;50;0;40;20;20;15;50;0;0;30;20;70;55;20;0;0;1,3;45;20;0;0;25;0;0;0;0;40;40;50;0;5;363;0
6221BL;80;40;35;0;30;30;10;0;40;0;0;30;20;55;35;15;0;0;1,4;60;60;0;0;0;0;0;0;0;55;10;80;0;20;290;0
6221BM;25;10;15;0;15;10;0;0;30;0;0;30;30;25;25;0;0;0;1;20;20;0;0;0;0;0;0;0;20;0;0;0;0;222;0
6221BN;45;25;25;0;25;20;0;0;40;0;0;40;20;30;20;10;0;0;1,5;30;30;0;0;0;0;0;0;0;30;0;80;0;5;201;0
6221BP;20;5;15;0;5;10;0;0;60;0;0;0;0;15;10;0;0;0;1,2;20;20;0;0;0;0;0;0;0;20;0;0;0;5;225;0
6221BR;30;15;20;0;20;10;0;0;50;0;0;40;0;25;20;5;0;0;1,2;20;20;0;0;0;0;0;0;0;20;0;0;0;0;264;0
6221BS;50;25;25;0;25;20;5;0;40;0;0;20;30;45;35;5;0;0;1,2;20;20;0;0;0;0;0;0;0;15;0;80;5;0;279;0
6221BV;60;35;25;5;25;15;15;0;60;0;0;20;10;45;40;5;0;0;1,3;25;25;0;0;0;0;0;0;0;20;20;80;0;0;300;10
